ttd_drug_id,trade_name,company,therapeutic_class,drug_type,highest_status
D07QCE,,GlaxoSmithKline,Immunosuppressive Agents,Small molecular drug,Approved
D07RGW,,Norvatis Phamaceuticals Corporation,Anticonvulsants,Small molecular drug,Approved
D07RYI,Parsabiv,Amgen/Kai Pharmaceuticals,,Small molecular drug,Approved
D07SUG,,GlaxoSmithKline,Anticancer Agents,Small molecular drug,Approved
D07SYJ,,Bayer Healthcare Pharmaceuticals Inc,Antiinfective Agents,Small molecular drug,Approved
D07TQV,,Glaxo Smith Kline Pharmaceuticals,Anti-HIV Agents,Small molecular drug,Approved
D07TWN,Krintafel,Medicines for Malaria Venture/GlaxoSmithKline,,Small molecular drug,Approved
D07UYO,,Pfizer Pharmaceuticals,Antibiotics,Small molecular drug,Approved
D07VDZ,,Ortho-McNell Pharmaceutical,Anticonvulsants,Small molecular drug,Approved
D07VLY,,Sequus Pharmaceuticals Inc,Anticancer Agents,Small molecular drug,Approved
D07WXI,Livtencity,Takeda,,Small molecular drug,Approved
D07XGR,,Abbott Laboratories,Antilipemic Agents,Small molecular drug,Approved
D07XJM,,Peckforton Pharmaceuticals,Anticholinergic Agents,Small molecular drug,Approved
D07XSN,,Upjohn Corporation,Anticancer Agents,Small molecular drug,Approved
D07XVN,,Pfizer Pharmaceuticals,Anticancer Agents,Small molecular drug,Approved
D07XYV,,AstraZeneca,Bronchodilator Agents,Small molecular drug,Approved
D07ZTO,,Merck & Co,Parasympathomimetics,Small molecular drug,Approved
D08BTB,,Abbott Laboratories Pharmaceutical Products Div,Neurology Agents,Small molecular drug,Approved
D08CDI,,GlaxoSmithKline,Anticancer Agents,Small molecular drug,Approved
D08EBN,,Unimed Pharmaceuticals,Antiparasitic Agents,Small molecular drug,Approved
D08EOD,,Pfizer Pharmaceuticals,Anticonvulsants,Small molecular drug,Approved
D08FJL,,Pfizer Pharmaceuticals,Antitocolytic Agents,Small molecular drug,Approved
